jet_times,brst_start_datetime_closest,brst_end_datetime_closest,time_interval_start,time_interval_end
2015-10-22 15:10:44.181000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4314560.181,-78971678.819
2015-10-23 14:24:34.076000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4398190.076,-78888048.924
2015-10-23 14:29:24.180000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4398480.18,-78887758.82
2015-10-23 14:27:44.129000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4398380.129,-78887858.871
2015-10-23 14:22:54.175000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,4398090.175,-78888148.825
2015-11-01 03:23:14.212000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5136110.212,-78150128.788
2015-11-01 03:31:14.219000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5136590.219,-78149648.781
2015-11-01 03:32:44.220000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5136680.22,-78149558.78
2015-11-03 15:46:04.178000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5353480.178,-77932758.822
2015-11-04 03:32:34.216000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5395870.216,-77890368.784
2015-11-04 07:26:04.113000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5409880.113,-77876358.887
2015-11-04 07:27:14.164000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5409950.164,-77876288.836
2015-11-04 07:19:04.107000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5409460.107,-77876778.893
2015-11-06 13:16:54.128000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5603730.128,-77682508.872
2015-11-06 13:23:14.083000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5604110.083,-77682128.917
2015-11-06 13:25:04.185000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5604220.185,-77682018.815
2015-11-06 13:50:54.157000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5605770.157,-77680468.843
2015-11-06 13:46:24.154000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5605500.154,-77680738.846
2015-11-07 13:25:44.079000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5690660.079,-77595578.921
2015-11-07 13:29:14.082000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5690870.082,-77595368.918
2015-11-10 02:43:14.101000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5911310.101,-77374928.899
2015-11-10 02:46:14.103000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,5911490.103,-77374748.897
2015-11-15 14:07:34.180000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,6384370.18,-76901868.82
2015-11-15 14:02:54.125000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,6384090.125,-76902148.875
2015-11-15 14:12:04.184000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,6384640.184,-76901598.816
2015-11-15 14:09:44.081000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,6384500.081,-76901738.919
2015-11-21 01:37:04.141000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,6857740.141,-76428498.859
2015-11-30 12:09:34.142000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,7673290.142,-75612948.858
2015-12-02 08:11:44.123000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,7831820.123,-75454418.877
2015-12-02 08:15:14.126000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,7832030.126,-75454208.874
2015-12-05 23:37:44.222000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8146580.222,-75139658.778
2015-12-05 23:44:34.178000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8146990.178,-75139248.822
2015-12-05 23:42:24.126000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8146860.126,-75139378.874
2015-12-06 23:31:54.130000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8232630.13,-75053608.87
2015-12-07 00:29:24.180000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8236080.18,-75050158.82
2015-12-07 00:27:24.178000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8235960.178,-75050278.822
2015-12-08 00:10:14.146000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8321330.146,-74964908.854
2015-12-08 00:06:34.093000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8321110.093,-74965128.907
2015-12-08 00:05:34.092000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8321050.092,-74965188.908
2015-12-08 00:03:14.140000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8320910.14,-74965328.86
2015-12-08 00:08:34.095000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8321230.095,-74965008.905
2015-12-07 23:58:54.186000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8320650.186,-74965588.814
2015-12-07 00:31:54.182000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8236230.182,-75050008.818
2015-12-08 10:27:24.157000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8358360.157,-74927878.843
2015-12-08 10:25:04.205000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8358220.205,-74928018.795
2015-12-08 10:20:54.151000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8357970.151,-74928268.849
2015-12-08 10:29:44.109000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8358500.109,-74927738.891
2015-12-10 12:20:54.163000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8537970.163,-74748268.837
2015-12-11 11:29:54.150000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8621310.15,-74664928.85
2015-12-12 00:17:44.185000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8667380.185,-74618858.815
2015-12-12 00:22:24.089000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8667660.089,-74618578.911
2015-12-12 00:24:14.190000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8667770.19,-74618468.81
2015-12-12 00:29:44.195000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8668100.195,-74618138.805
2015-12-12 00:20:34.137000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,8667550.137,-74618688.863
2015-12-15 23:37:54.076000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9010590.076,-74275648.924
2015-12-15 23:39:44.178000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9010700.178,-74275538.822
2015-12-17 02:20:44.091000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9106760.091,-74179478.909
2015-12-17 02:19:54.140000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9106710.14,-74179528.86
2015-12-17 02:22:34.192000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9106870.192,-74179368.808
2015-12-17 02:21:44.092000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9106820.092,-74179418.908
2015-12-17 02:25:24.145000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9107040.145,-74179198.855
2015-12-17 02:27:14.096000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9107150.096,-74179088.904
2015-12-17 02:28:04.197000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9107200.197,-74179038.803
2015-12-17 10:07:34.163000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9134770.163,-74151468.837
2015-12-17 10:08:24.114000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9134820.114,-74151418.886
2015-12-17 10:09:14.215000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9134870.215,-74151368.785
2015-12-17 10:11:04.166000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9134980.166,-74151258.834
2015-12-17 10:12:04.167000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9135040.167,-74151198.833
2015-12-17 10:12:54.118000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9135090.118,-74151148.882
2015-12-23 11:14:54.208000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9657210.208,-73629028.792
2015-12-23 11:13:44.157000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9657140.157,-73629098.843
2015-12-25 09:10:04.191000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9822520.191,-73463718.809
2015-12-25 09:11:34.193000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9822610.193,-73463628.807
2015-12-26 21:42:44.080000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,9954080.08,-73332158.92
